agent_id,gender,age,last_lat,last_lon,last_known_location,last_node_id,home_id,home_type,home_building_id,home_lat,home_lon,profession,work_place,work_place_type,work_place_building_id,work_place_lat,work_place_lon,last_infection_status,last_health_status,last_activities,eating_out_preference,vaccinated
3596,M,43,36.087836,140.10564714999998,apartments,840,1814,apartments,840,36.087836,140.10564714999998,retailer,1515,retail,1515,36.113259657142855,140.11553164285712,Infectious,Normal,idle,0.17,False
4414,M,26,36.10033212857143,140.100973,apartments,903,965,apartments,903,36.10033212857143,140.100973,salaryman,190,office,190,36.08592685,140.10058512499998,Infectious,Normal,idle,0.44,False
3815,F,47,36.1060892,140.106584325,apartments,1440,2887,apartments,1440,36.1060892,140.106584325,salaryman,1640,office,1640,36.1136834625,140.0921044125,Infectious,Symptomatics,idle,0.05,False
2568,F,26,36.09797326666666,140.09671545,apartments,1584,2962,apartments,1584,36.09797326666666,140.09671545,salaryman_outside_city,10,train_station,10,36.082676766666665,140.11130317777778,Infectious,Normal,idle,0.17,False
846,F,52,36.081911,140.1078224,restaurant,86,666,apartments,1023,36.11848122,140.09753701999998,university_student,1209,university,1209,36.10974325,140.09824364999997,Infectious,Normal,idle,0.68,False
3788,F,36,36.085758075,140.113182825,apartments,52,2519,apartments,52,36.085758075,140.113182825,salaryman,706,office,706,36.079994225,140.10942895,Infectious,Normal,idle,0.03,False
2901,F,69,36.0900744,140.112230075,apartments,768,2425,apartments,768,36.0900744,140.112230075,salaryman_outside_city,10,train_station,10,36.082676766666665,140.11130317777778,Infectious,Normal,idle,0.5,False
1962,F,30,36.083091800000005,140.1153161,apartments,683,1522,apartments,683,36.083091800000005,140.1153161,university_student,1493,university,1493,36.1154819,140.103368675,Infectious,Normal,idle,0.1,False
2971,F,69,36.09559238,140.09747894000003,apartments,447,1753,apartments,447,36.09559238,140.09747894000003,salaryman_outside_city,10,train_station,10,36.082676766666665,140.11130317777778,Infectious,Normal,idle,0.21,False
288,M,17,36.085269775,140.11409392500002,apartments,50,1103,apartments,50,36.085269775,140.11409392500002,student,1725,school,1725,36.085483999999994,140.109305075,Infectious,Normal,idle,0.01,False
