type,id,startHour,finishHour,workDays
restaurant,0,10,21,[0 1 2 3 4 6]
restaurant,17,10,20,[0 1 2 3 5 6]
restaurant,23,10,20,[1 2 3 4 6]
restaurant,33,10,20,[1 2 3 4 5]
restaurant,34,10,20,[2 3 4 5 6]
restaurant,63,10,20,[0 1 2 4 5]
restaurant,70,10,20,[0 1 2 4 5]
restaurant,86,0,0,[0 1 2 3 5 6]
restaurant,172,10,21,[0 3 4 5 6]
restaurant,177,10,21,[0 2 3 4 5 6]
restaurant,178,0,0,[0 1 2 4 5]
restaurant,186,10,20,[0 1 2 3 4 6]
restaurant,261,10,20,[0 1 3 4 6]
restaurant,287,10,21,[1 2 3 4 6]
restaurant,346,10,21,[0 2 3 4 5]
restaurant,413,10,20,[0 1 3 5 6]
restaurant,418,10,20,[0 1 2 5 6]
restaurant,473,10,21,[0 1 2 3 5 6]
restaurant,514,10,21,[0 1 2 3 4]
restaurant,616,10,21,[1 2 3 4 5 6]
restaurant,617,10,21,[0 2 3 4 6]
restaurant,622,10,21,[0 1 2 3 4]
restaurant,639,10,21,[0 2 3 4 5 6]
restaurant,640,10,21,[0 2 3 5 6]
restaurant,714,10,20,[1 2 4 5 6]
restaurant,802,10,21,[0 2 3 4 5 6]
restaurant,803,10,20,[0 1 3 4 5]
restaurant,805,10,20,[0 1 2 3 4 6]
restaurant,806,10,20,[0 1 2 4 5 6]
restaurant,842,10,21,[0 2 3 4 5 6]
restaurant,1218,10,21,[0 2 3 4 5 6]
restaurant,1219,10,21,[0 1 2 3 6]
restaurant,1220,0,0,[0 1 3 4 5 6]
restaurant,1229,10,21,[0 1 3 4 5]
restaurant,1273,10,21,[0 1 3 5 6]
restaurant,1486,10,20,[1 2 3 4 5 6]
barbershop,117,10,19,[0 1 2 4 5 6]
barbershop,347,9,20,[0 1 2 3 4]
barbershop,348,9,19,[0 1 2 4 6]
barbershop,466,9,19,[0 1 3 5 6]
barbershop,583,10,21,[0 2 3 4 5]
barbershop,865,9,20,[0 1 2 3 4 6]
barbershop,866,9,19,[0 1 2 3 4 5]
barbershop,928,9,19,[0 2 3 4 5 6]
retail,1,9,19,[0 2 3 4 5 6]
retail,64,8,18,[1 2 3 4 5 6]
retail,65,9,19,[0 1 2 4 5 6]
retail,66,8,18,[0 1 2 4 5 6]
retail,139,9,20,[0 1 2 3 4 6]
retail,155,9,20,[0 1 2 4 5 6]
retail,179,9,20,[0 1 2 3 4 5]
retail,221,8,19,[0 1 3 4 5 6]
retail,228,9,20,[0 1 3 4 5 6]
retail,276,9,20,[0 2 3 4 5 6]
retail,280,8,18,[1 2 3 4 5 6]
retail,302,8,18,[0 1 2 3 4 6]
retail,344,8,18,[0 1 2 3 4 5]
retail,351,8,18,[0 1 2 4 5 6]
retail,412,8,18,[0 1 2 4 5 6]
retail,414,9,19,[0 1 2 3 5 6]
retail,421,0,0,[1 2 3 4 5 6]
retail,424,8,19,[0 2 3 4 5 6]
retail,437,9,20,[1 2 3 4 5 6]
retail,513,8,18,[0 1 2 3 5 6]
retail,607,9,19,[0 1 2 3 4 5]
retail,614,9,19,[0 1 2 3 4 6]
retail,709,8,18,[0 1 2 4 5 6]
retail,712,9,19,[0 1 2 3 5 6]
retail,713,8,19,[0 1 2 3 4 6]
retail,740,8,18,[0 2 3 4 5 6]
retail,742,8,19,[0 2 3 4 5 6]
retail,857,8,19,[0 2 3 4 5 6]
retail,858,0,0,[1 2 3 4 5 6]
retail,897,9,20,[0 1 2 4 5 6]
retail,929,8,18,[0 2 3 4 5 6]
retail,988,8,18,[0 1 2 3 4 6]
retail,989,9,19,[0 1 3 4 5 6]
retail,990,0,0,[0 1 2 3 4 5]
retail,991,8,18,[0 1 2 3 4 6]
retail,992,9,20,[0 1 2 3 4 6]
retail,993,8,18,[0 1 2 3 4 6]
retail,997,8,19,[0 2 3 4 5 6]
retail,1000,8,18,[0 2 3 4 5 6]
retail,1001,8,18,[1 2 3 4 5 6]
retail,1006,9,19,[0 1 2 3 4 5]
retail,1007,8,18,[0 1 2 4 5 6]
retail,1008,9,20,[0 2 3 4 5 6]
retail,1010,9,20,[1 2 3 4 5 6]
retail,1011,9,19,[0 1 2 4 5 6]
retail,1012,9,19,[0 1 2 4 5 6]
retail,1013,8,19,[0 1 2 3 4 6]
retail,1014,0,0,[0 1 2 3 4 5]
retail,1015,9,20,[1 2 3 4 5 6]
retail,1016,8,18,[0 1 2 3 4 6]
retail,1018,8,19,[0 1 2 4 5 6]
retail,1019,9,19,[0 1 2 3 5 6]
retail,1256,8,19,[0 1 2 3 5 6]
retail,1257,8,19,[0 2 3 4 5 6]
retail,1258,9,19,[1 2 3 4 5 6]
retail,1263,9,20,[0 1 2 4 5 6]
retail,1264,8,19,[0 1 2 3 4 6]
retail,1265,8,19,[0 1 2 3 5 6]
retail,1362,8,19,[0 2 3 4 5 6]
retail,1385,0,0,[0 2 3 4 5 6]
retail,1386,8,18,[0 1 2 3 4 6]
retail,1510,9,19,[0 1 2 3 5 6]
retail,1511,9,20,[0 1 2 3 4 6]
retail,1514,9,19,[0 2 3 4 5 6]
retail,1515,9,20,[0 1 2 3 4 5]
retail,1516,8,19,[0 1 2 3 4 5]
retail,1628,8,19,[1 2 3 4 5 6]
retail,1629,0,0,[0 1 2 3 5 6]
hospital,30,0,0,[0 1 2 3 4 5 6]
hospital,31,0,0,[0 1 2 3 4 5 6]
hospital,111,0,0,[0 1 2 3 4 5 6]
hospital,116,0,0,[0 1 2 3 4 5 6]
hospital,1722,0,0,[0 1 2 3 4 5 6]
