Day,Hour,Minute,CurrentStep,Susceptible,Exposed,Infectious,Recovered
0,0,5,300,4990,0,10,0
0,0,10,600,4989,1,10,0
0,0,15,900,4989,1,10,0
0,0,20,1200,4989,1,10,0
0,0,25,1500,4989,1,10,0
0,0,30,1800,4989,1,10,0
0,0,35,2100,4989,1,10,0
0,0,40,2400,4988,2,10,0
0,0,45,2700,4988,2,10,0
0,0,50,3000,4988,2,10,0
0,0,55,3300,4988,2,10,0
0,1,0,3600,4988,2,10,0
0,1,5,3900,4988,2,10,0
0,1,10,4200,4988,2,10,0
0,1,15,4500,4988,2,10,0
0,1,20,4800,4988,2,10,0
0,1,25,5100,4988,2,10,0
0,1,30,5400,4988,2,10,0
0,1,35,5700,4988,2,10,0
0,1,40,6000,4988,2,10,0
0,1,45,6300,4988,2,10,0
0,1,50,6600,4988,2,10,0
0,1,55,6900,4988,2,10,0
0,2,0,7200,4988,2,10,0
0,2,5,7500,4988,2,10,0
0,2,10,7800,4988,2,10,0
0,2,15,8100,4988,2,10,0
0,2,20,8400,4988,2,10,0
0,2,25,8700,4988,2,10,0
0,2,30,9000,4988,2,10,0
0,2,35,9300,4988,2,10,0
0,2,40,9600,4988,2,10,0
0,2,45,9900,4988,2,10,0
0,2,50,10200,4988,2,10,0
0,2,55,10500,4988,2,10,0
0,3,0,10800,4988,2,10,0
0,3,5,11100,4988,2,10,0
0,3,10,11400,4988,2,10,0
0,3,15,11700,4988,2,10,0
0,3,20,12000,4988,2,10,0
0,3,25,12300,4988,2,10,0
0,3,30,12600,4988,2,10,0
0,3,35,12900,4988,2,10,0
0,3,40,13200,4988,2,10,0
0,3,45,13500,4988,2,10,0
0,3,50,13800,4988,2,10,0
0,3,55,14100,4988,2,10,0
0,4,0,14400,4988,2,10,0
0,4,5,14700,4988,2,10,0
0,4,10,15000,4988,2,10,0
0,4,15,15300,4988,2,10,0
0,4,20,15600,4988,2,10,0
0,4,25,15900,4988,2,10,0
0,4,30,16200,4988,2,10,0
0,4,35,16500,4988,2,10,0
0,4,40,16800,4988,2,10,0
0,4,45,17100,4988,2,10,0
0,4,50,17400,4988,2,10,0
0,4,55,17700,4988,2,10,0
0,5,0,18000,4988,2,10,0
0,5,5,18300,4988,2,10,0
0,5,10,18600,4988,2,10,0
0,5,15,18900,4988,2,10,0
0,5,20,19200,4988,2,10,0
0,5,25,19500,4987,3,10,0
0,5,30,19800,4987,3,10,0
0,5,35,20100,4987,3,10,0
0,5,40,20400,4987,3,10,0
0,5,45,20700,4987,3,10,0
0,5,50,21000,4987,3,10,0
0,5,55,21300,4987,3,10,0
0,6,0,21600,4987,3,10,0
0,6,5,21900,4987,3,10,0
0,6,10,22200,4987,3,10,0
0,6,15,22500,4987,3,10,0
0,6,20,22800,4987,3,10,0
0,6,25,23100,4987,3,10,0
0,6,30,23400,4987,3,10,0
0,6,35,23700,4987,3,10,0
0,6,40,24000,4987,3,10,0
0,6,45,24300,4987,3,10,0
0,6,50,24600,4987,3,10,0
0,6,55,24900,4987,3,10,0
0,7,0,25200,4987,3,10,0
0,7,5,25500,4987,3,10,0
0,7,10,25800,4987,3,10,0
0,7,15,26100,4987,3,10,0
0,7,20,26400,4987,3,10,0
0,7,25,26700,4987,3,10,0
0,7,30,27000,4987,3,10,0
0,7,35,27300,4987,3,10,0
0,7,40,27600,4987,3,10,0
0,7,45,27900,4987,3,10,0
0,7,50,28200,4987,3,10,0
0,7,55,28500,4987,3,10,0
0,8,0,28800,4987,3,10,0
0,8,5,29100,4987,3,10,0
0,8,10,29400,4987,3,10,0
0,8,15,29700,4987,3,10,0
0,8,20,30000,4987,3,10,0
0,8,25,30300,4987,3,10,0
0,8,30,30600,4987,3,10,0
0,8,35,30900,4987,3,10,0
0,8,40,31200,4987,3,10,0
0,8,45,31500,4987,3,10,0
0,8,50,31800,4987,3,10,0
0,8,55,32100,4987,3,10,0
0,9,0,32400,4987,3,10,0
0,9,5,32700,4986,4,10,0
0,9,10,33000,4986,4,10,0
0,9,15,33300,4986,4,10,0
0,9,20,33600,4986,4,10,0
0,9,25,33900,4986,4,10,0
0,9,30,34200,4986,4,10,0
0,9,35,34500,4985,5,10,0
0,9,40,34800,4984,6,10,0
0,9,45,35100,4984,6,10,0
0,9,50,35400,4984,6,10,0
0,9,55,35700,4984,6,10,0
0,10,0,36000,4984,6,10,0
0,10,5,36300,4984,6,10,0
0,10,10,36600,4984,6,10,0
0,10,15,36900,4984,6,10,0
0,10,20,37200,4984,6,10,0
0,10,25,37500,4984,6,10,0
0,10,30,37800,4984,6,10,0
0,10,35,38100,4984,6,10,0
0,10,40,38400,4984,6,10,0
0,10,45,38700,4983,7,10,0
0,10,50,39000,4982,8,10,0
0,10,55,39300,4982,8,10,0
0,11,0,39600,4982,8,10,0
0,11,5,39900,4982,8,10,0
0,11,10,40200,4982,8,10,0
0,11,15,40500,4982,8,10,0
0,11,20,40800,4982,8,10,0
0,11,25,41100,4982,8,10,0
0,11,30,41400,4982,8,10,0
0,11,35,41700,4982,8,10,0
0,11,40,42000,4982,8,10,0
0,11,45,42300,4982,8,10,0
0,11,50,42600,4981,9,10,0
0,11,55,42900,4981,9,10,0
0,12,0,43200,4980,10,10,0
0,12,5,43500,4980,10,10,0
0,12,10,43800,4980,10,10,0
0,12,15,44100,4980,10,10,0
0,12,20,44400,4980,10,10,0
0,12,25,44700,4980,10,10,0
0,12,30,45000,4979,11,10,0
0,12,35,45300,4979,11,10,0
0,12,40,45600,4979,11,10,0
0,12,45,45900,4979,11,10,0
0,12,50,46200,4979,11,10,0
0,12,55,46500,4978,12,10,0
0,13,0,46800,4978,12,10,0
0,13,5,47100,4977,13,10,0
0,13,10,47400,4977,13,10,0
0,13,15,47700,4977,13,10,0
0,13,20,48000,4977,13,10,0
0,13,25,48300,4977,13,10,0
0,13,30,48600,4977,13,10,0
0,13,35,48900,4977,13,10,0
0,13,40,49200,4977,13,10,0
0,13,45,49500,4976,14,10,0
0,13,50,49800,4976,14,10,0
0,13,55,50100,4975,15,10,0
0,14,0,50400,4975,15,10,0
0,14,5,50700,4975,15,10,0
0,14,10,51000,4975,15,10,0
0,14,15,51300,4975,15,10,0
0,14,20,51600,4975,15,10,0
0,14,25,51900,4975,15,10,0
0,14,30,52200,4975,15,10,0
0,14,35,52500,4975,15,10,0
0,14,40,52800,4975,15,10,0
0,14,45,53100,4975,15,10,0
0,14,50,53400,4975,15,10,0
0,14,55,53700,4975,15,10,0
0,15,0,54000,4975,15,10,0
0,15,5,54300,4975,15,10,0
0,15,10,54600,4975,15,10,0
0,15,15,54900,4975,15,10,0
0,15,20,55200,4974,16,10,0
0,15,25,55500,4974,16,10,0
0,15,30,55800,4972,18,10,0
0,15,35,56100,4972,18,10,0
0,15,40,56400,4972,18,10,0
0,15,45,56700,4970,20,10,0
0,15,50,57000,4970,20,10,0
0,15,55,57300,4970,20,10,0
0,16,0,57600,4970,20,10,0
0,16,5,57900,4970,20,10,0
0,16,10,58200,4970,20,10,0
0,16,15,58500,4969,21,10,0
0,16,20,58800,4969,21,10,0
0,16,25,59100,4969,21,10,0
0,16,30,59400,4969,21,10,0
0,16,35,59700,4969,21,10,0
0,16,40,60000,4969,21,10,0
0,16,45,60300,4969,21,10,0
0,16,50,60600,4969,21,10,0
0,16,55,60900,4969,21,10,0
0,17,0,61200,4969,21,10,0
0,17,5,61500,4969,21,10,0
0,17,10,61800,4969,21,10,0
0,17,15,62100,4969,21,10,0
0,17,20,62400,4968,22,10,0
0,17,25,62700,4967,23,10,0
0,17,30,63000,4967,23,10,0
0,17,35,63300,4967,23,10,0
0,17,40,63600,4967,23,10,0
0,17,45,63900,4967,23,10,0
0,17,50,64200,4967,23,10,0
0,17,55,64500,4967,23,10,0
0,18,0,64800,4966,24,10,0
0,18,5,65100,4966,24,10,0
0,18,10,65400,4966,24,10,0
0,18,15,65700,4966,24,10,0
0,18,20,66000,4966,24,10,0
0,18,25,66300,4966,24,10,0
0,18,30,66600,4966,24,10,0
0,18,35,66900,4966,24,10,0
0,18,40,67200,4966,24,10,0
0,18,45,67500,4966,24,10,0
0,18,50,67800,4966,24,10,0
0,18,55,68100,4966,24,10,0
0,19,0,68400,4966,24,10,0
0,19,5,68700,4966,24,10,0
0,19,10,69000,4966,24,10,0
0,19,15,69300,4966,24,10,0
0,19,20,69600,4966,24,10,0
0,19,25,69900,4966,24,10,0
0,19,30,70200,4966,24,10,0
0,19,35,70500,4966,24,10,0
0,19,40,70800,4966,24,10,0
0,19,45,71100,4966,24,10,0
0,19,50,71400,4966,24,10,0
0,19,55,71700,4966,24,10,0
0,20,0,72000,4966,24,10,0
0,20,5,72300,4966,24,10,0
0,20,10,72600,4966,24,10,0
0,20,15,72900,4966,24,10,0
0,20,20,73200,4966,24,10,0
0,20,25,73500,4966,24,10,0
0,20,30,73800,4966,24,10,0
0,20,35,74100,4966,24,10,0
0,20,40,74400,4966,24,10,0
0,20,45,74700,4966,24,10,0
0,20,50,75000,4966,24,10,0
0,20,55,75300,4966,24,10,0
0,21,0,75600,4966,24,10,0
0,21,5,75900,4966,24,10,0
0,21,10,76200,4966,24,10,0
0,21,15,76500,4966,24,10,0
0,21,20,76800,4966,24,10,0
0,21,25,77100,4966,24,10,0
0,21,30,77400,4966,24,10,0
0,21,35,77700,4966,24,10,0
0,21,40,78000,4966,24,10,0
0,21,45,78300,4966,24,10,0
0,21,50,78600,4966,24,10,0
0,21,55,78900,4966,24,10,0
0,22,0,79200,4966,24,10,0
0,22,5,79500,4966,24,10,0
0,22,10,79800,4966,24,10,0
0,22,15,80100,4966,24,10,0
0,22,20,80400,4966,24,10,0
0,22,25,80700,4966,24,10,0
0,22,30,81000,4966,24,10,0
0,22,35,81300,4966,24,10,0
0,22,40,81600,4966,24,10,0
0,22,45,81900,4966,24,10,0
0,22,50,82200,4966,24,10,0
0,22,55,82500,4966,24,10,0
0,23,0,82800,4966,24,10,0
0,23,5,83100,4966,24,10,0
0,23,10,83400,4966,24,10,0
0,23,15,83700,4966,24,10,0
0,23,20,84000,4966,24,10,0
0,23,25,84300,4966,24,10,0
0,23,30,84600,4966,24,10,0
0,23,35,84900,4966,24,10,0
0,23,40,85200,4966,24,10,0
0,23,45,85500,4966,24,10,0
0,23,50,85800,4966,24,10,0
0,23,55,86100,4966,24,10,0
1,0,0,86400,4966,24,10,0
1,0,5,86700,4966,24,10,0
1,0,10,87000,4966,24,10,0
1,0,15,87300,4966,24,10,0
1,0,20,87600,4966,24,10,0
1,0,25,87900,4966,24,10,0
1,0,30,88200,4966,24,10,0
1,0,35,88500,4966,24,10,0
1,0,40,88800,4966,24,10,0
1,0,45,89100,4966,24,10,0
1,0,50,89400,4966,24,10,0
1,0,55,89700,4966,24,10,0
1,1,0,90000,4966,24,10,0
1,1,5,90300,4966,24,10,0
1,1,10,90600,4966,24,10,0
1,1,15,90900,4966,24,10,0
1,1,20,91200,4966,24,10,0
1,1,25,91500,4966,24,10,0
1,1,30,91800,4966,24,10,0
1,1,35,92100,4966,24,10,0
1,1,40,92400,4966,24,10,0
1,1,45,92700,4966,24,10,0
1,1,50,93000,4966,24,10,0
1,1,55,93300,4966,24,10,0
1,2,0,93600,4966,24,10,0
1,2,5,93900,4966,24,10,0
1,2,10,94200,4966,24,10,0
1,2,15,94500,4966,24,10,0
1,2,20,94800,4966,24,10,0
1,2,25,95100,4966,24,10,0
1,2,30,95400,4966,24,10,0
1,2,35,95700,4966,24,10,0
1,2,40,96000,4966,24,10,0
1,2,45,96300,4966,24,10,0
1,2,50,96600,4966,24,10,0
1,2,55,96900,4966,24,10,0
1,3,0,97200,4966,24,10,0
1,3,5,97500,4966,24,10,0
1,3,10,97800,4966,24,10,0
1,3,15,98100,4966,24,10,0
1,3,20,98400,4966,24,10,0
1,3,25,98700,4966,24,10,0
1,3,30,99000,4966,24,10,0
1,3,35,99300,4966,24,10,0
1,3,40,99600,4966,24,10,0
1,3,45,99900,4966,24,10,0
1,3,50,100200,4966,24,10,0
1,3,55,100500,4966,24,10,0
1,4,0,100800,4966,24,10,0
1,4,5,101100,4966,24,10,0
1,4,10,101400,4966,24,10,0
1,4,15,101700,4966,24,10,0
1,4,20,102000,4966,24,10,0
1,4,25,102300,4966,24,10,0
1,4,30,102600,4966,24,10,0
1,4,35,102900,4966,24,10,0
1,4,40,103200,4966,24,10,0
1,4,45,103500,4966,24,10,0
1,4,50,103800,4966,24,10,0
1,4,55,104100,4966,24,10,0
1,5,0,104400,4966,24,10,0
1,5,5,104700,4966,24,10,0
1,5,10,105000,4966,24,10,0
1,5,15,105300,4966,24,10,0
1,5,20,105600,4966,24,10,0
1,5,25,105900,4966,24,10,0
1,5,30,106200,4966,24,10,0
1,5,35,106500,4966,24,10,0
1,5,40,106800,4966,24,10,0
1,5,45,107100,4966,24,10,0
1,5,50,107400,4966,24,10,0
1,5,55,107700,4966,24,10,0
1,6,0,108000,4966,24,10,0
1,6,5,108300,4966,24,10,0
1,6,10,108600,4966,24,10,0
1,6,15,108900,4966,24,10,0
1,6,20,109200,4966,24,10,0
1,6,25,109500,4966,24,10,0
1,6,30,109800,4966,24,10,0
1,6,35,110100,4966,24,10,0
1,6,40,110400,4966,24,10,0
1,6,45,110700,4966,24,10,0
1,6,50,111000,4966,24,10,0
1,6,55,111300,4966,24,10,0
1,7,0,111600,4966,24,10,0
1,7,5,111900,4966,24,10,0
1,7,10,112200,4966,24,10,0
1,7,15,112500,4966,24,10,0
1,7,20,112800,4966,24,10,0
1,7,25,113100,4966,24,10,0
1,7,30,113400,4966,24,10,0
1,7,35,113700,4966,24,10,0
1,7,40,114000,4966,24,10,0
1,7,45,114300,4966,24,10,0
1,7,50,114600,4966,24,10,0
1,7,55,114900,4966,24,10,0
1,8,0,115200,4966,24,10,0
1,8,5,115500,4966,24,10,0
1,8,10,115800,4966,24,10,0
1,8,15,116100,4966,24,10,0
1,8,20,116400,4966,24,10,0
