Day,Hour,Minutes,CurrentStep,Susceptible,Exposed,Infectious,Recovered
0,0,5,300,4497,0,499,0
0,0,10,600,4497,0,499,0
0,0,15,900,4497,0,499,0
0,0,20,1200,4495,2,499,0
0,0,25,1500,4495,2,499,0
0,0,30,1800,4495,2,499,0
0,0,35,2100,4492,5,499,0
0,0,40,2400,4492,5,499,0
0,0,45,2700,4491,6,499,0
0,0,50,3000,4490,7,499,0
0,0,55,3300,4489,8,499,0
0,1,0,3600,4489,8,499,0
0,1,5,3900,4489,8,499,0
0,1,10,4200,4489,8,499,0
0,1,15,4500,4488,9,499,0
0,1,20,4800,4488,9,499,0
0,1,25,5100,4488,9,499,0
0,1,30,5400,4488,9,499,0
0,1,35,5700,4487,10,499,0
0,1,40,6000,4486,11,499,0
0,1,45,6300,4485,12,499,0
0,1,50,6600,4485,12,499,0
0,1,55,6900,4485,12,499,0
0,2,0,7200,4485,12,499,0
0,2,5,7500,4485,12,499,0
0,2,10,7800,4483,14,499,0
0,2,15,8100,4483,14,499,0
0,2,20,8400,4483,14,499,0
0,2,25,8700,4482,15,499,0
0,2,30,9000,4481,16,499,0
0,2,35,9300,4481,16,499,0
0,2,40,9600,4479,18,499,0
0,2,45,9900,4477,20,499,0
0,2,50,10200,4476,21,499,0
0,2,55,10500,4476,21,499,0
0,3,0,10800,4476,21,499,0
0,3,5,11100,4473,24,499,0
0,3,10,11400,4473,24,499,0
0,3,15,11700,4470,27,499,0
0,3,20,12000,4466,31,499,0
0,3,25,12300,4464,33,499,0
0,3,30,12600,4463,34,499,0
0,3,35,12900,4458,39,499,0
0,3,40,13200,4454,43,499,0
0,3,45,13500,4454,43,499,0
0,3,50,13800,4451,46,499,0
0,3,55,14100,4450,47,499,0
0,4,0,14400,4447,50,499,0
0,4,5,14700,4446,51,499,0
0,4,10,15000,4444,53,499,0
0,4,15,15300,4442,55,499,0
0,4,20,15600,4439,58,499,0
0,4,25,15900,4435,62,499,0
0,4,30,16200,4431,66,499,0
0,4,35,16500,4429,68,499,0
0,4,40,16800,4428,69,499,0
0,4,45,17100,4425,72,499,0
0,4,50,17400,4422,75,499,0
0,4,55,17700,4417,80,499,0
0,5,0,18000,4414,83,499,0
0,5,5,18300,4412,85,499,0
0,5,10,18600,4404,93,499,0
0,5,15,18900,4402,95,499,0
0,5,20,19200,4397,100,499,0
0,5,25,19500,4392,105,499,0
0,5,30,19800,4390,107,499,0
0,5,35,20100,4385,112,499,0
0,5,40,20400,4382,115,499,0
0,5,45,20700,4378,119,499,0
0,5,50,21000,4375,122,499,0
0,5,55,21300,4370,127,499,0
0,6,0,21600,4363,134,499,0
0,6,5,21900,4359,138,499,0
0,6,10,22200,4351,146,499,0
0,6,15,22500,4344,153,499,0
0,6,20,22800,4341,156,499,0
0,6,25,23100,4334,163,499,0
0,6,30,23400,4327,170,499,0
0,6,35,23700,4321,176,499,0
0,6,40,24000,4315,182,499,0
0,6,45,24300,4306,191,499,0
0,6,50,24600,4300,197,499,0
0,6,55,24900,4295,202,499,0
0,7,0,25200,4291,206,499,0
0,7,5,25500,4284,213,499,0
0,7,10,25800,4281,216,499,0
0,7,15,26100,4274,223,499,0
0,7,20,26400,4268,229,499,0
0,7,25,26700,4259,238,499,0
0,7,30,27000,4253,244,499,0
0,7,35,27300,4242,255,499,0
0,7,40,27600,4230,267,499,0
0,7,45,27900,4224,273,499,0
0,7,50,28200,4217,280,499,0
0,7,55,28500,4209,288,499,0
0,8,0,28800,4201,296,499,0
0,8,5,29100,4194,303,499,0
0,8,10,29400,4186,311,499,0
0,8,15,29700,4182,315,499,0
0,8,20,30000,4180,317,499,0
0,8,25,30300,4173,324,499,0
0,8,30,30600,4169,328,499,0
0,8,35,30900,4164,333,499,0
0,8,40,31200,4157,340,499,0
0,8,45,31500,4154,343,499,0
0,8,50,31800,4147,350,499,0
0,8,55,32100,4145,352,499,0
0,9,0,32400,4140,357,499,0
0,9,5,32700,4137,360,499,0
0,9,10,33000,4134,363,499,0
0,9,15,33300,4132,365,499,0
0,9,20,33600,4128,369,499,0
0,9,25,33900,4125,372,499,0
0,9,30,34200,4122,375,499,0
0,9,35,34500,4117,380,499,0
0,9,40,34800,4113,384,499,0
0,9,45,35100,4111,386,499,0
0,9,50,35400,4103,394,499,0
0,9,55,35700,4100,397,499,0
0,10,0,36000,4089,408,499,0
0,10,5,36300,4086,411,499,0
0,10,10,36600,4078,419,499,0
0,10,15,36900,4073,424,499,0
0,10,20,37200,4068,429,499,0
0,10,25,37500,4064,433,499,0
0,10,30,37800,4060,437,499,0
0,10,35,38100,4055,442,499,0
0,10,40,38400,4053,444,499,0
0,10,45,38700,4051,446,499,0
0,10,50,39000,4046,451,499,0
0,10,55,39300,4044,453,499,0
0,11,0,39600,4037,460,499,0
0,11,5,39900,4033,464,499,0
0,11,10,40200,4030,467,499,0
0,11,15,40500,4028,469,499,0
0,11,20,40800,4025,472,499,0
0,11,25,41100,4018,479,499,0
0,11,30,41400,4016,481,499,0
0,11,35,41700,4012,485,499,0
0,11,40,42000,4010,487,499,0
0,11,45,42300,4007,490,499,0
0,11,50,42600,4003,494,499,0
0,11,55,42900,3997,500,499,0
0,12,0,43200,3993,504,499,0
0,12,5,43500,3991,506,499,0
0,12,10,43800,3986,511,499,0
0,12,15,44100,3984,513,499,0
0,12,20,44400,3982,515,499,0
0,12,25,44700,3979,518,499,0
0,12,30,45000,3973,524,499,0
0,12,35,45300,3969,528,499,0
0,12,40,45600,3966,531,499,0
0,12,45,45900,3963,534,499,0
0,12,50,46200,3958,539,499,0
0,12,55,46500,3955,542,499,0
0,13,0,46800,3952,545,499,0
0,13,5,47100,3949,548,499,0
0,13,10,47400,3944,553,499,0
0,13,15,47700,3939,558,499,0
0,13,20,48000,3933,564,499,0
0,13,25,48300,3928,569,499,0
0,13,30,48600,3926,571,499,0
0,13,35,48900,3920,577,499,0
0,13,40,49200,3919,578,499,0
0,13,45,49500,3916,581,499,0
0,13,50,49800,3912,585,499,0
0,13,55,50100,3907,590,499,0
0,14,0,50400,3903,594,499,0
0,14,5,50700,3895,602,499,0
0,14,10,51000,3892,605,499,0
0,14,15,51300,3887,610,499,0
0,14,20,51600,3882,615,499,0
0,14,25,51900,3880,617,499,0
0,14,30,52200,3876,621,499,0
0,14,35,52500,3871,626,499,0
0,14,40,52800,3869,628,499,0
0,14,45,53100,3862,635,499,0
0,14,50,53400,3857,640,499,0
0,14,55,53700,3855,642,499,0
0,15,0,54000,3851,646,499,0
0,15,5,54300,3845,652,499,0
0,15,10,54600,3841,656,499,0
0,15,15,54900,3838,659,499,0
0,15,20,55200,3828,669,499,0
0,15,25,55500,3826,671,499,0
0,15,30,55800,3822,675,499,0
0,15,35,56100,3817,680,499,0
0,15,40,56400,3814,683,499,0
0,15,45,56700,3811,686,499,0
0,15,50,57000,3805,692,499,0
0,15,55,57300,3799,698,499,0
0,16,0,57600,3793,704,499,0
0,16,5,57900,3788,709,499,0
0,16,10,58200,3785,712,499,0
0,16,15,58500,3776,721,499,0
0,16,20,58800,3775,722,499,0
0,16,25,59100,3766,731,499,0
0,16,30,59400,3761,736,499,0
0,16,35,59700,3756,741,499,0
0,16,40,60000,3749,748,499,0
0,16,45,60300,3746,751,499,0
0,16,50,60600,3743,754,499,0
0,16,55,60900,3737,760,499,0
0,17,0,61200,3731,766,499,0
0,17,5,61500,3726,771,499,0
0,17,10,61800,3722,775,499,0
0,17,15,62100,3717,780,499,0
0,17,20,62400,3713,784,499,0
0,17,25,62700,3709,788,499,0
0,17,30,63000,3706,791,499,0
