type,id,startHour,finishHour,workDays
restaurant,0,0,0,[0 2 3 4 6]
restaurant,17,10,20,[1 3 4 5 6]
restaurant,23,10,21,[0 1 2 3 5]
restaurant,33,0,0,[0 1 4 5 6]
restaurant,34,10,21,[1 2 3 4 5 6]
restaurant,63,0,0,[1 2 3 4 5 6]
restaurant,70,10,21,[0 2 3 4 6]
restaurant,86,0,0,[1 3 4 5 6]
restaurant,172,10,20,[2 3 4 5 6]
restaurant,177,10,20,[0 1 2 3 4 5]
restaurant,178,10,21,[0 1 2 3 5 6]
restaurant,186,10,20,[0 1 2 4 5 6]
restaurant,261,10,20,[0 1 2 3 4 6]
restaurant,287,10,21,[0 2 4 5 6]
restaurant,346,0,0,[0 2 3 4 5 6]
restaurant,413,10,21,[2 3 4 5 6]
restaurant,418,10,21,[0 1 2 3 4 5]
restaurant,473,10,20,[0 1 3 4 5 6]
restaurant,514,10,21,[0 2 3 4 5 6]
restaurant,616,10,21,[1 2 3 4 5 6]
restaurant,617,10,21,[0 1 2 3 5 6]
restaurant,622,10,20,[0 1 3 4 5 6]
restaurant,639,10,21,[1 2 3 4 6]
restaurant,640,10,20,[0 1 2 4 5 6]
restaurant,714,10,21,[0 1 2 5 6]
restaurant,802,10,20,[0 1 2 5 6]
restaurant,803,10,21,[0 1 2 3 4 6]
restaurant,805,10,21,[0 2 3 4 5 6]
restaurant,806,10,20,[0 1 2 5 6]
restaurant,842,0,0,[0 2 3 4 5]
restaurant,1218,0,0,[0 1 2 3 4 5]
restaurant,1219,10,21,[0 2 3 4 5 6]
restaurant,1220,10,20,[0 2 3 4 5]
restaurant,1229,10,21,[1 2 3 4 5 6]
restaurant,1273,10,20,[0 1 3 4 5 6]
restaurant,1486,10,20,[0 1 2 5 6]
barbershop,117,10,19,[0 1 3 4 5 6]
barbershop,347,9,19,[0 1 2 3 5 6]
barbershop,348,9,18,[0 1 2 3 5 6]
barbershop,466,10,20,[0 2 3 4 5]
barbershop,583,9,18,[1 2 3 5 6]
barbershop,865,9,20,[0 1 3 4 6]
barbershop,866,10,21,[1 2 4 5 6]
barbershop,928,10,19,[1 2 3 5 6]
retail,1,8,19,[0 1 2 3 4 5]
retail,64,8,19,[0 1 2 3 4 6]
retail,65,0,0,[1 2 3 4 5 6]
retail,66,9,19,[0 1 3 4 5 6]
retail,139,8,18,[0 1 3 4 5 6]
retail,155,9,20,[0 2 3 4 5 6]
retail,179,8,19,[0 1 2 3 5 6]
retail,221,8,19,[0 1 2 4 5 6]
retail,228,8,19,[0 1 2 3 4 5]
retail,276,8,18,[0 2 3 4 5 6]
retail,280,8,19,[0 1 2 3 4 5]
retail,302,8,19,[0 1 3 4 5 6]
retail,344,8,18,[1 2 3 4 5 6]
retail,351,0,0,[0 1 2 4 5 6]
retail,412,9,20,[0 2 3 4 5 6]
retail,414,8,19,[0 1 3 4 5 6]
retail,421,9,20,[1 2 3 4 5 6]
retail,424,0,0,[0 1 2 3 4 5]
retail,437,8,19,[0 2 3 4 5 6]
retail,513,8,19,[0 1 2 3 5 6]
retail,607,8,18,[0 1 3 4 5 6]
retail,614,0,0,[0 1 2 3 5 6]
retail,709,9,19,[0 1 2 3 4 6]
retail,712,8,18,[0 1 2 3 5 6]
retail,713,9,19,[0 2 3 4 5 6]
retail,740,8,19,[0 2 3 4 5 6]
retail,742,9,20,[0 1 2 3 5 6]
retail,857,9,20,[0 1 3 4 5 6]
retail,858,8,19,[0 1 2 3 4 6]
retail,897,0,0,[0 1 3 4 5 6]
retail,929,8,18,[0 1 3 4 5 6]
retail,988,9,19,[0 1 2 3 4 6]
retail,989,8,19,[1 2 3 4 5 6]
retail,990,9,20,[0 2 3 4 5 6]
retail,991,8,19,[0 1 2 3 4 5]
retail,992,9,20,[0 1 2 3 5 6]
retail,993,8,18,[1 2 3 4 5 6]
retail,997,8,19,[1 2 3 4 5 6]
retail,1000,8,19,[0 1 2 3 5 6]
retail,1001,8,18,[0 1 2 4 5 6]
retail,1006,8,19,[0 1 2 4 5 6]
retail,1007,8,19,[0 1 2 3 4 6]
retail,1008,8,18,[0 1 2 3 4 5]
retail,1010,9,19,[0 1 2 4 5 6]
retail,1011,9,19,[0 2 3 4 5 6]
retail,1012,8,18,[0 1 3 4 5 6]
retail,1013,8,19,[0 1 2 3 5 6]
retail,1014,9,19,[1 2 3 4 5 6]
retail,1015,9,20,[1 2 3 4 5 6]
retail,1016,8,18,[0 1 2 3 4 5]
retail,1018,8,18,[0 2 3 4 5 6]
